37687,136163,0415_Erro_2,Resultado superestimado
37687,136164,0415_Erro_2,Resultado superestimado
37687,136165,0415_Erro_2,Resultado superestimado
37688,136167,0415_Erro_2,Resultado superestimado
37688,136168,0415_Erro_2,Resultado superestimado
37688,136169,0415_Erro_2,Resultado superestimado
37689,136171,0415_Erro_2,Resultado superestimado
37689,136172,0415_Erro_2,Resultado superestimado
37689,136173,0415_Erro_2,Resultado superestimado
37690,136175,0415_Erro_2,Resultado superestimado
37690,136176,0415_Erro_2,Resultado superestimado
37690,136177,0415_Erro_2,Resultado superestimado
37691,136179,0415_Erro_2,Resultado superestimado
37691,136180,0415_Erro_2,Resultado superestimado
37691,136181,0415_Erro_2,Resultado superestimado
37692,136183,0415_Erro_1,Resultado subestimado
37692,136184,0415_Erro_1,Resultado subestimado
37692,136185,0415_Erro_2,Resultado superestimado
37693,136187,0415_Erro_2,Resultado superestimado
37693,136188,0415_Erro_2,Resultado superestimado
37693,136189,0415_Erro_3x,Erro de formatação
37694,136190,0415_Erro_1,Resultado subestimado
37694,136191,0415_Erro_1,Resultado subestimado
37694,136193,0415_Erro_2,Resultado superestimado
37695,136194,0415_Erro_2,Resultado superestimado
37695,136196,0415_Erro_2,Resultado superestimado
37695,136197,0415_Erro_2,Resultado superestimado
37696,136198,0415_Erro_1,Resultado subestimado
37696,136200,0415_Erro_2,Resultado superestimado
37696,136201,0415_Erro_2,Resultado superestimado
37697,136202,0415_Erro_1,Resultado subestimado
37697,136203,0415_Erro_2,Resultado superestimado
37697,136204,0415_Erro_2,Resultado superestimado
37698,136206,0415_Erro_1,Resultado subestimado
37698,136207,0415_Erro_1,Resultado subestimado
37698,136208,0415_Erro_2,Resultado superestimado
37699,136210,0415_Erro_1,Resultado subestimado
37699,136212,0415_Erro_2,Resultado superestimado
37699,136213,0415_Erro_2,Resultado superestimado
37700,136215,0415_Erro_1,Resultado subestimado
37700,136216,0415_Erro_1,Resultado subestimado
37700,136217,0415_Erro_1,Resultado subestimado
37701,136218,0415_Erro_2,Resultado superestimado
37701,136219,0415_Erro_2,Resultado superestimado
37701,136220,0415_Erro_2,Resultado superestimado
37702,136222,0415_Erro_2,Resultado superestimado
37702,136223,0415_Erro_1,Resultado subestimado
37702,136224,0415_Erro_1,Resultado subestimado
37703,136226,0415_Erro_1,Resultado subestimado
37703,136227,0415_Erro_1,Resultado subestimado
37703,136228,0415_Erro_2,Resultado superestimado
37704,136230,0415_Erro_2,Resultado superestimado
37704,136232,0415_Erro_1,Resultado subestimado
37704,136233,0415_Erro_2,Resultado superestimado
37705,136234,0415_Erro_1,Resultado subestimado
37705,136235,0415_Erro_2,Resultado superestimado
37705,136237,0415_Erro_2,Resultado superestimado
37706,136238,0415_Erro_2,Resultado superestimado
37706,136239,0415_Erro_2,Resultado superestimado
37706,136241,0415_Erro_2,Resultado superestimado
37707,136243,0415_Erro_2,Resultado superestimado
37707,136244,0415_Erro_2,Resultado superestimado
37707,136245,0415_Erro_2,Resultado superestimado
37708,136246,0415_Erro_1,Resultado subestimado
37708,136248,0415_Erro_2,Resultado superestimado
37708,136249,0415_Erro_2,Resultado superestimado
37709,136252,0415_Erro_2,Resultado superestimado
37709,136253,0415_Erro_1,Resultado subestimado
37709,136251,0415_Erro_2,Resultado superestimado
37710,136254,0415_Erro_1,Resultado subestimado
37710,136256,0415_Erro_2,Resultado superestimado
37710,136257,0415_Erro_2,Resultado superestimado
37711,136258,0415_Erro_1,Resultado subestimado
37711,136260,0415_Erro_1,Resultado subestimado
37711,136261,0415_Erro_3x,Erro conceitual
37712,136262,0415_Erro_1,Resultado subestimado
37712,136263,0415_Erro_1,Resultado subestimado
37712,136264,0415_Erro_1,Resultado subestimado
37713,136267,0415_Erro_2,Resultado superestimado
37713,136268,0415_Erro_2,Resultado superestimado
37713,136269,0415_Erro_2,Resultado superestimado
